graph	algo	n	m	gn	gm	rn	rm	offset	time	seed	mem
sat14_6s130-opt.cnf.hgr.random100	graphred15	98654	144361	98654	240044	5576	7892	42996	1.16653	1	32768
sat14_6s130-opt.cnf.hgr.random100	graphred15	98654	144361	98654	240044	5576	7892	42996	1.17282	21	32768
sat14_6s130-opt.cnf.hgr.random100	graphred15	98654	144361	98654	240044	5576	7892	42996	1.24739	203	32768
sat14_6s130-opt.cnf.hgr.random100	graphred15	98654	144361	98654	240044	5576	7892	42996	1.16401	1002	32768
sat14_6s130-opt.cnf.primal.hgr.random100	graphred15	49327	144361	49327	137440	20623	42506	9978	0.24090	1	24576
sat14_6s130-opt.cnf.primal.hgr.random100	graphred15	49327	144361	49327	137440	20623	42506	9978	0.24541	21	24576
sat14_6s130-opt.cnf.primal.hgr.random100	graphred15	49327	144361	49327	137440	20623	42506	9978	0.24121	203	24576
sat14_6s130-opt.cnf.primal.hgr.random100	graphred15	49327	144361	49327	137440	20623	42506	9978	0.23968	1002	24576
sat14_6s133.cnf.primal.hgr.random100	graphred15	48215	140968	48215	133638	21990	44026	8987	0.12089	1	23552
sat14_6s133.cnf.primal.hgr.random100	graphred15	48215	140968	48215	133638	21990	44026	8987	0.12145	21	23552
sat14_6s133.cnf.primal.hgr.random100	graphred15	48215	140968	48215	133638	21990	44026	8987	0.12098	203	23552
sat14_6s133.cnf.primal.hgr.random100	graphred15	48215	140968	48215	133638	21990	44026	8987	0.12009	1002	23552
sat14_6s16.cnf.primal.hgr.random100	graphred15	31483	91888	31483	87393	15758	32592	5101	0.13056	1	17408
sat14_6s16.cnf.primal.hgr.random100	graphred15	31483	91888	31483	87393	15758	32592	5101	0.13207	21	17408
sat14_6s16.cnf.primal.hgr.random100	graphred15	31483	91888	31483	87393	15758	32592	5101	0.13093	203	17408
sat14_6s16.cnf.primal.hgr.random100	graphred15	31483	91888	31483	87393	15758	32592	5101	0.13126	1002	17408
dac2012_superblue6.hgr.random100	graphred15	1011662	1006629	1011662	94699919	211659	11352757	197433	616.59254	1	1839244
dac2012_superblue6.hgr.random100	graphred15	1011662	1006629	1011662	94699919	211659	11352757	197433	616.19272	21	1839972
sat14_6s184.cnf.hgr.random100	graphred15	66730	97516	66730	161898	11058	17977	25372	0.98757	1	23552
sat14_6s184.cnf.hgr.random100	graphred15	66730	97516	66730	161898	11058	17977	25372	0.98226	21	23552
sat14_6s184.cnf.hgr.random100	graphred15	66730	97516	66730	161898	11058	17977	25372	1.01497	203	22528
sat14_6s184.cnf.hgr.random100	graphred15	66730	97516	66730	161898	11058	17977	25372	0.98805	1002	23552
dac2012_superblue6.hgr.random100	graphred15	1011662	1006629	1011662	94699919	211659	11352757	197433	620.69448	203	1839972
dac2012_superblue6.hgr.random100	graphred15	1011662	1006629	1011662	94699919	211659	11352757	197433	619.58919	1002	1839976
sat14_ACG-20-10p1.cnf.dual.hgr.random100	graphred15	1632906	381708	1632906	30673242	1037403	10169945	13149	5.83318	1	905612
