graph	algo	n	m	rn	rm	gm	rgm	seed
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	67834	83836	11986190	1569168	203
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	67834	83836	11986190	1569168	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	126654	10519	363318742	20775991	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	126654	10519	363318742	20775991	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	126654	10519	363318742	20775991	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	126654	10519	363318742	20775991	1002
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	860669	433296	100137024	25541952	1
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	860669	433296	100137024	25541952	21
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	860669	433296	100137024	25541952	203
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	222727	589405	1654773	1231856	1
sat14_manol-pipe-c10nidw.cnf.dual.hgr.random100	reduce8	1291714	433601	860669	433296	100137024	25541952	1002
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	222727	589405	1654773	1231856	21
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	222727	589405	1654773	1231856	203
sat14_q_query_3_L100_coli.sat.cnf.primal.hgr.random100	reduce8	315617	1522583	222727	589405	1654773	1231856	1002
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	reduce8	973984	2456708	122810	404702	5430512	614062	1
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	reduce8	973984	2456708	122810	404702	5430512	614062	21
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	reduce8	973984	2456708	122810	404702	5430512	614062	203
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	reduce8	973984	2456708	122810	404702	5430512	614062	1002
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1213331	4754042	378400	394676	5626175	751416	1
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1213331	4754042	378400	394676	5626175	751416	21
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1213331	4754042	378400	394676	5626175	751416	203
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1213331	4754042	378400	394676	5626175	751416	1002
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	reduce8	2712808	5395102	1462872	2666468	10949389	3659883	1
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	reduce8	2712808	5395102	1462872	2666468	10949389	3659883	21
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	reduce8	2712808	5395102	1462872	2666468	10949389	3659883	203
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	reduce8	2712808	5395102	1462872	2666468	10949389	3659883	1002
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1540071	6036162	481040	501756	7142935	955036	1
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1540071	6036162	481040	501756	7142935	955036	21
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	reduce8	94998	302862	0	0	6386470	0	1
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1540071	6036162	481040	501756	7142935	955036	203
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	reduce8	1540071	6036162	481040	501756	7142935	955036	1002
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	reduce8	94998	302862	0	0	6386470	0	21
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	reduce8	94998	302862	0	0	6386470	0	203
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	reduce8	94998	302862	0	0	6386470	0	1002
sat14_UCG-15-10p1.cnf.hgr.random100	reduce8	400006	1019221	55167	229689	2077960	546021	1
sat14_UCG-15-10p1.cnf.hgr.random100	reduce8	400006	1019221	55167	229689	2077960	546021	21
sat14_UCG-15-10p1.cnf.hgr.random100	reduce8	400006	1019221	55167	229689	2077960	546021	203
sat14_UCG-15-10p1.cnf.hgr.random100	reduce8	400006	1019221	55167	229689	2077960	546021	1002
sat14_UCG-15-10p1.cnf.primal.hgr.random100	reduce8	200003	1019221	155379	273436	1400466	853234	1
sat14_UCG-15-10p1.cnf.primal.hgr.random100	reduce8	200003	1019221	155379	273436	1400466	853234	21
sat14_UCG-15-10p1.cnf.primal.hgr.random100	reduce8	200003	1019221	155379	273436	1400466	853234	203
sat14_UCG-15-10p1.cnf.primal.hgr.random100	reduce8	200003	1019221	155379	273436	1400466	853234	1002
shermanACb.mtx.hgr.random100.rendered	reduce8	18510	18510	0	0	74214440	0	1
shermanACb.mtx.hgr.random100.rendered	reduce8	18510	18510	0	0	74214440	0	21
shermanACb.mtx.hgr.random100.rendered	reduce8	18510	18510	0	0	74214440	0	203
ship_001.mtx.hgr.random100	reduce8	34920	34920	3133	1505	12782809	96045	1
ship_001.mtx.hgr.random100	reduce8	34920	34920	3133	1505	12782809	96045	21
