graph	 seed	 red_n	 red_m	 time	 reduction
dac2012_superblue11.hgr.random100	1	635855	149839	0.45195	node_degree_one
dac2012_superblue11.hgr.random100	1	0	32651	0.21507	edge_domination
dac2012_superblue11.hgr.random100	1	17631	0	0.12984	fast_node_domination
dac2012_superblue11.hgr.random100	1	76142	16096	3.83359	node_domination
dac2012_superblue11.hgr.random100	1	2983	1270	0.28524	twin
dac2012_superblue11.hgr.random100	1	128531	0	13.59964	unconfined
dac2012_superblue11.hgr.random100	21	0	637047	0.02120	edge_size
dac2012_superblue11.hgr.random100	21	635855	149839	0.45639	node_degree_one
dac2012_superblue11.hgr.random100	21	0	32651	0.21525	edge_domination
dac2012_superblue11.hgr.random100	21	17631	0	0.13023	fast_node_domination
dac2012_superblue11.hgr.random100	21	76142	16096	3.84340	node_domination
dac2012_superblue11.hgr.random100	21	2983	1270	0.28791	twin
dac2012_superblue11.hgr.random100	21	128531	0	13.58467	unconfined
dac2012_superblue11.hgr.random100	203	0	637047	0.02144	edge_size
dac2012_superblue11.hgr.random100	203	635855	149839	0.45351	node_degree_one
dac2012_superblue11.hgr.random100	203	0	32651	0.21503	edge_domination
dac2012_superblue11.hgr.random100	203	17631	0	0.12764	fast_node_domination
dac2012_superblue11.hgr.random100	203	76142	16096	3.83771	node_domination
dac2012_superblue11.hgr.random100	203	2983	1270	0.28760	twin
dac2012_superblue11.hgr.random100	203	128531	0	13.60678	unconfined
dac2012_superblue11.hgr.random100	1002	0	637047	0.02177	edge_size
dac2012_superblue11.hgr.random100	1002	635855	149839	0.45341	node_degree_one
dac2012_superblue11.hgr.random100	1002	0	32651	0.21584	edge_domination
dac2012_superblue11.hgr.random100	1002	17631	0	0.12780	fast_node_domination
dac2012_superblue11.hgr.random100	1002	76142	16096	3.84738	node_domination
dac2012_superblue11.hgr.random100	1002	2983	1270	0.27212	twin
dac2012_superblue11.hgr.random100	1002	128531	0	13.59339	unconfined
dac2012_superblue16.hgr.random100	1	0	466800	0.01671	edge_size
dac2012_superblue16.hgr.random100	1	446777	121649	0.39077	node_degree_one
dac2012_superblue16.hgr.random100	1	0	10088	0.16474	edge_domination
dac2012_superblue16.hgr.random100	1	19121	0	0.13960	fast_node_domination
dac2012_superblue16.hgr.random100	1	18589	2712	1.07517	node_domination
dac2012_superblue16.hgr.random100	1	830	352	0.22273	twin
dac2012_superblue16.hgr.random100	1	118952	0	7.40746	unconfined
dac2012_superblue16.hgr.random100	21	0	466800	0.01697	edge_size
dac2012_superblue16.hgr.random100	21	446777	121649	0.39196	node_degree_one
dac2012_superblue16.hgr.random100	21	0	10088	0.16485	edge_domination
dac2012_superblue16.hgr.random100	21	19121	0	0.13910	fast_node_domination
dac2012_superblue16.hgr.random100	21	18589	2712	1.07365	node_domination
dac2012_superblue16.hgr.random100	21	830	352	0.22977	twin
dac2012_superblue16.hgr.random100	21	118952	0	7.38765	unconfined
dac2012_superblue16.hgr.random100	203	0	466800	0.01683	edge_size
dac2012_superblue16.hgr.random100	203	446777	121649	0.39106	node_degree_one
dac2012_superblue16.hgr.random100	203	0	10088	0.16518	edge_domination
dac2012_superblue16.hgr.random100	203	19121	0	0.13980	fast_node_domination
dac2012_superblue16.hgr.random100	203	18589	2712	1.07252	node_domination
