graph	algo	n	m	e	rn	rm	re	offset	time	seed
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce6	29194	7729	9.98	29194	7729	9.98	0	0.46152	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce5	29194	7729	9.98	16542	7705	4.60	0	2.17565	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.76892	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce9	29194	7729	9.98	4497	3843	2.41	1305	2.74342	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce10	29194	7729	9.98	4479	3825	2.41	1314	3.03297	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce11	29194	7729	9.98	4497	3843	2.41	1305	2.75342	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce13	29194	7729	9.98	4497	3843	2.41	1305	2.71846	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce15	29194	7729	9.98	16501	7686	4.60	18	0.19340	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce12	29194	7729	9.98	4497	3843	2.41	1305	4.65774	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce14	29194	7729	9.98	4497	3843	2.41	1305	2.80646	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce1	386163	14636	112.93	386163	14618	113.06	0	0.05577	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce2	386163	14636	112.93	385886	14482	114.05	99	0.05717	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce3	386163	14636	112.93	386163	14599	113.21	0	0.05868	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce7	29194	7729	9.98	5390	2884	2.56	0	12.33956	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce4	386163	14636	112.93	304674	13351	91.50	663	2.43975	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce1	386163	14636	112.93	386163	14618	113.06	0	0.05317	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce2	386163	14636	112.93	385886	14482	114.05	99	0.05750	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce3	386163	14636	112.93	386163	14599	113.21	0	0.05676	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce4	386163	14636	112.93	304674	13351	91.50	663	2.43320	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce5	386163	14636	112.93	379948	14271	114.40	2	19.38771	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce6	386163	14636	112.93	385934	14498	113.93	83	24.56247	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce15	386163	14636	112.93	303592	13351	91.33	664	16.12097	1
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce5	386163	14636	112.93	379948	14271	114.40	2	19.60098	21
